file_id,linear_SNR,neural_SNR,linear_ERLE,neural_ERLE,linear_PESQ,neural_PESQ,linear_MSE,neural_MSE,linear_Corr,neural_Corr,linear_STFT_distance,neural_STFT_distance
9984,-6.262718439102173,-1.8802790343761444,-4.750636518001556,3.0243977904319763,1.287320613861084,1.2565343379974365,0.0048657068982720375,0.001773789175786078,0.011300969673609737,0.0027398517535804235,0.107923485,0.097514644
9783,-2.28506863117218,-2.6553505659103394,0.22599522024393082,-0.8896408975124359,1.357487678527832,1.1152052879333496,0.0377151183784008,0.04107179492712021,-0.020905301894925104,0.004556422227884701,0.35614172,0.43612927
9622,-4.110432267189026,-3.624565601348877,-3.637632429599762,-2.7919676899909973,1.18282949924469,1.0931037664413452,0.004708751104772091,0.004210358485579491,0.006672454599083946,0.003330387489980339,0.14741668,0.16839525
9054,-5.011080503463745,-2.736109495162964,1.0578835755586624,4.99206930398941,1.2478702068328857,1.2303361892700195,0.014387303031980991,0.008520837873220444,0.0013353212618073945,0.0006549473592205165,0.34960255,0.299914
9974,-2.2375990450382233,-2.8576049208641052,-0.5970964208245277,-1.9453297555446625,1.1892119646072388,1.0489110946655273,0.011021082289516926,0.012712321244180202,0.012292881152933047,0.008437445280059,0.25615165,0.2967288
9245,-1.4612957835197449,-1.2475433200597763,-0.1725502498447895,0.5632170289754868,1.1741924285888672,1.1285135746002197,0.018475022166967392,0.017587726935744286,-0.003521097716884208,0.0010031711618588605,0.341538,0.33691406
9336,-8.268718123435974,-4.000254273414612,-0.2038387767970562,5.564053654670715,1.2731446027755737,1.0768272876739502,0.0019622454419732094,0.0007343564066104591,-0.005249950360589944,-0.0020540926341573243,0.14527628,0.091107294
9303,-5.630092024803162,-1.7406630516052246,0.5752212926745415,7.587540149688721,1.5259661674499512,1.1949609518051147,0.013785365968942642,0.005629572086036205,-0.10959905168847153,-0.022653384343063254,0.19793378,0.15384862
9998,-1.5773791074752808,-2.456401139497757,0.08897699415683746,-2.1138356626033783,1.2534167766571045,1.0648343563079834,0.03259241580963135,0.03990421071648598,0.023206987505218775,0.011072939284293927,0.40228644,0.47577435
9210,-5.720776319503784,-2.073998898267746,0.1263228803873062,6.6919392347335815,1.8936322927474976,1.34828782081604,0.002567682648077607,0.001108826487325132,0.025982117339337384,0.006224335356053439,0.090654075,0.08094755
